frame_id,t_detect_ms,t_embed_ms,t_match_ms,t_vote_ms,t_gesture_ms,t_http_ms,t_total_ms
62,2.3430,3.0345,0.0474,0.0029,10.9362,0.0000,16.5743
63,2.4267,2.9162,0.0429,0.0022,10.9176,0.0000,16.4960
64,2.7279,3.0564,0.0475,0.0025,10.8379,0.0000,16.9756
65,2.4796,2.9629,0.0432,0.0021,10.8748,0.0000,16.5690
66,2.2541,2.9577,0.0415,0.0023,10.8211,0.0000,16.3553
67,2.2907,3.0116,0.0420,0.0025,11.0254,0.0000,16.6486
68,2.3130,2.9950,0.0463,0.0023,10.8244,0.0000,16.3839
69,2.3535,2.9710,0.0432,0.0021,10.9489,0.0000,16.5334
70,2.6381,3.0167,0.0396,0.0022,10.8169,0.0000,16.7099
71,2.2982,3.0778,0.0470,0.0024,10.8743,0.0000,16.5226
72,2.3889,3.0529,0.0419,0.0022,10.8371,0.0000,16.5310
73,2.4311,2.9458,0.0440,0.0023,10.9072,0.0000,16.5275
74,2.6523,2.9301,0.0389,0.0021,10.8704,0.0000,16.7095
75,2.3977,3.2948,0.0423,0.0024,10.8323,0.0000,16.8487
76,2.3297,2.9893,0.0416,0.0023,10.8239,0.0000,16.3949
77,2.5541,2.9429,0.0426,0.0019,10.9056,0.0000,16.7048
78,2.2683,3.7175,0.0561,0.0027,11.1245,0.0000,17.4603
79,2.5031,3.4924,0.0554,0.0030,11.0644,0.0000,17.4014
80,2.5184,3.1478,0.0570,0.0031,11.2018,0.0000,17.2219
81,2.3087,3.1460,0.0510,0.0029,10.9981,0.0000,16.7679
82,2.9419,3.4460,0.0677,0.0042,11.3072,0.0000,18.0336
83,2.5430,3.4678,0.0595,0.0037,10.9288,0.0000,17.2840
84,2.6215,3.5370,0.0676,0.0040,11.0638,0.0000,17.6025
